DATE,ASPUS,AUTHNOTTSA,CSUSHPISA,EVACANTUSQ176N,INTDSRUSM193N,LREM25TTUSM156S,MNMFS,MORTGAGE30US,MSACSR,NHSDPTS,PERMIT,RHVRUSQ156N,TTLCONS,UMCSENT
2003-01-01,233100,168,129.3206667,14908,2.25,78.97580765,4.566666667,5.840769231,4.2,978,1806.333333,1.7,858070.6667,79.96666667
2003-04-01,241000,176.6666667,131.7556667,15244,2.166666667,78.91652969,4.6,5.506923077,3.833333333,1094.333333,1837.666667,1.7,869046,89.26666667
2003-07-01,248100,177,135.013,15614,2,78.65472593,4.166666667,6.033846154,3.633333333,1168.333333,1937.333333,1.9,901564,89.3
2003-10-01,256000,178,138.8346667,15654,2,78.71678305,3.8,5.919285714,3.966666667,1122,1972.333333,1.8,933402.6667,91.96666667
2004-01-01,262900,173.3333333,143.2986667,15895,2,78.82008306,4.233333333,5.5975,3.7,1200,1994.666667,1.7,945832.3333,98
2004-04-01,265300,181.6666667,148.209,16079,2.083333333,78.97616208,4.066666667,6.106153846,3.9,1202.333333,2080,1.7,975023.3333,93.33333333
2004-07-01,274000,198.6666667,152.717,15656,2.5,79.08282607,3.766666667,5.894285714,4.3,1159,2069.666667,1.7,1010626.667,95.6
2004-10-01,286300,211.6666667,157.5356667,15361,3,79.06534229,3.966666667,5.736153846,4.1,1242,2086,1.8,1025397.667,93.86666667
2005-01-01,288500,208.3333333,163.4813333,15748,3.5,79.11046025,4.366666667,5.768461538,4.266666667,1283.333333,2105,1.8,1061558.333,94.06666667
2005-04-01,287800,219,169.347,16061,4,79.3402509,4.066666667,5.708461538,4.266666667,1273.333333,2137.666667,1.8,1093416.333,90.2
2005-07-01,294600,225.6666667,174.5796667,15883,4.5,79.51932326,3.733333333,5.763846154,4.466666667,1296,2228.333333,1.9,1132234,87.5
2005-10-01,294200,231,179.539,15823,5,79.38369048,4,6.226153846,4.8,1263,2169.333333,2,1172532.667,82.43333333
2006-01-01,305300,223.6666667,183.3236667,16234,5.583333333,79.54908904,4.133333333,6.246923077,5.766666667,1117,2157,2.1,1202150,88.93333333
2006-04-01,302600,226.3333333,183.9973333,16513,6,79.66230789,3.733333333,6.602307692,6.266666667,1094.333333,1923.333333,2.2,1182001.667,83.8
2006-07-01,308100,215.3333333,182.8203333,16769,6.25,79.84418806,3.5,6.56,6.9,1005.333333,1713.333333,2.5,1146528.667,84.03333333
2006-10-01,299600,204.3333333,183.6483333,16894,6.25,80.19775502,4.033333333,6.243846154,6.8,980.6666667,1581,2.7,1126689.667,92.46666667
2007-01-01,322100,207.6666667,184.421,17724,6.25,80.0523976,5.166666667,6.214615385,7.666666667,850.6666667,1606.666667,2.8,1141191,92.2
2007-04-01,310100,203,181.6213333,17547,6.25,79.96420455,5.733333333,6.358461538,7.8,840.6666667,1456.666667,2.6,1158560.667,86.9
2007-07-01,301200,191.3333333,178.262,18049,5.75,79.8237876,5.833333333,6.551538462,8.9,721,1314.333333,2.7,1157701.667,85.73333333
2007-10-01,305800,185,175.371,17910,4.916666667,79.82165559,6.033333333,6.224615385,9.166666667,662.3333333,1188.333333,2.8,1133513.333,77.5
2008-01-01,290400,175.3333333,171.575,18642,3.166666667,79.69947499,7.066666667,5.872307692,9.833333333,585,1025,2.9,1103813.667,72.9
2008-04-01,304200,160,166.6713333,18701,2.25,79.45935581,8.133333333,6.086923077,10.56666667,509,1061,2.8,1097632.333,59.6
2008-07-01,285100,149.3333333,161.954,18651,2.25,78.96961762,8.866666667,6.322307692,10.9,448.3333333,858.6666667,2.8,1072202,64.83333333
2008-10-01,276600,126.6666667,156.0283333,18973,1,78.13936859,9.166666667,5.841428571,11.4,386.3333333,638.6666667,2.9,1030043.667,57.66666667
2009-01-01,257000,113,150.06,19137,0.5,76.67513095,9.833333333,5.06,11.23333333,349,538.6666667,2.7,970200,58.26666667
2009-04-01,273400,102.3333333,147.911,18752,0.5,75.88079688,11.4,5.012307692,9.5,368.6666667,559.3333333,2.5,921677.3333,68.2
2009-07-01,274100,93.66666667,148.2366667,18996,0.5,75.44757625,12.86666667,5.162307692,7.733333333,405,606.6666667,2.6,899597,68.4
2009-10-01,272900,94.33333333,147.9706667,19006,0.5,75.01714284,13.86666667,4.922142857,7.666666667,374.3333333,623.3333333,2.7,857497.6667,70.16666667
2010-01-01,275300,98,146.295,19126,0.666666667,75.19439163,13.36666667,4.995833333,7.833333333,354,657.6666667,2.6,819616,73.86666667
2010-04-01,268800,89.33333333,146.1726667,19022,0.75,75.15307711,12.16666667,4.922307692,7.933333333,335.6666667,599.6666667,2.5,825018,73.93333333
2010-07-01,266000,83.66666667,143.9743333,18933,0.75,75.07060895,8.666666667,4.447142857,8.433333333,294,574,2.5,803150.6667,68.3
2010-10-01,278000,83,142.2546667,18551,0.75,74.98797042,6.933333333,4.436153846,7.8,301.3333333,583.3333333,2.7,798306,71.26666667
2011-01-01,268100,80,140.6183333,18998,0.75,75.17245651,6.966666667,4.846923077,7.533333333,292.3333333,567,2.6,762499,73.06666667
2011-04-01,267600,80.66666667,139.9256667,18843,0.75,75.01473449,7.966666667,4.650769231,6.633333333,305.3333333,611.6666667,2.5,779842.3333,71.86666667
2011-07-01,263000,82.33333333,139.2356667,18803,0.75,75.05379906,6.466666667,4.291538462,6.5,299.6666667,626,2.4,805998,59.66666667
2011-10-01,259700,78.66666667,137.2603333,18389,0.75,75.23393677,5.266666667,4.002307692,5.666666667,328.3333333,691.3333333,2.3,813931.6667,64.8
2012-01-01,278000,80.33333333,137.0153333,18476,0.75,75.53666396,5.666666667,3.922307692,5,351.6666667,752,2.2,828088.6667,75.5
2012-04-01,282700,81.66666667,140.1133333,18519,0.75,75.64714178,5.766666667,3.794615385,4.8,361.3333333,774,2.1,850225.6667,76.3
2012-07-01,294500,90.66666667,142.2863333,18149,0.75,75.83359689,5.333333333,3.553846154,4.566666667,376.3333333,873,1.9,862749.3333,74.96666667
2012-10-01,297700,94.66666667,144.5636667,17939,0.75,75.94839113,3.466666667,3.359230769,4.666666667,383,915,1.9,873075.6667,79.4
2013-01-01,307400,91,148.191,18459,0.75,75.66807121,3.533333333,3.496923077,4.1,445.6666667,952,2.1,866938.3333,76.66666667
2013-04-01,320400,97,152.8556667,18165,0.75,75.92979212,4.233333333,3.672307692,4.366666667,446.3333333,985.6666667,1.9,889258.3333,81.66666667
2013-07-01,324400,104.6666667,156.932,18177,0.75,76.05558668,3.2,4.44,5.466666667,386.3333333,988.3333333,1.9,928312.6667,81.56666667
2013-10-01,334400,110.6666667,160.103,18087,0.75,75.91189251,3.066666667,4.293076923,5.033333333,441,1026,2.1,964849,76.93333333
2014-01-01,331400,108.3333333,162.514,18453,0.75,76.40201002,3.3,4.364615385,5.333333333,422.6666667,1027.333333,2,988427.3333,80.93333333
2014-04-01,340600,109.6666667,163.7063333,18219,0.75,76.59098119,3.333333333,4.227692308,5.533333333,424,1039.333333,1.9,1006824,82.83333333
2014-07-01,340400,111.6666667,165.233,18170,0.75,76.85120512,3.133333333,4.135384615,5.666666667,442.6666667,1066.666667,1.8,1017307,82.96666667
2014-10-01,369400,120.6666667,167.344,16956,0.75,76.96831947,2.966666667,3.963571429,5.366666667,471.6666667,1075,1.9,1049241.333,89.76666667
2015-01-01,348000,124.3333333,169.189,17502,0.75,77.08802504,3.433333333,3.716666667,4.8,511.6666667,1082.666667,1.9,1073628,95.5
2015-04-01,339700,141.6666667,170.8826667,17379,0.75,77.26967576,3.966666667,3.819230769,5.1,494.6666667,1272.333333,1.8,1136415,94.23333333
2015-07-01,347400,145,172.9656667,17510,0.75,77.27499938,3.4,3.954615385,5.366666667,493.3333333,1149.666667,1.9,1160958.333,90.73333333
2015-10-01,366700,143.6666667,175.6923333,17288,0.833333333,77.34512846,2.933333333,3.897857143,5.4,510.6666667,1205,1.9,1151132.333,91.3
2016-01-01,357000,149,177.6973333,17758,1,77.794146,3.666666667,3.738461538,5.533333333,518,1153.666667,1.7,1174205,91.56666667
2016-04-01,357900,140,179.426,17268,1,77.82551241,3.966666667,3.589230769,5.133333333,568,1191,1.7,1198063.667,92.4
2016-07-01,358800,135.6666667,181.8366667,17160,1,77.98824965,3.266666667,3.446153846,4.9,587,1234,1.8,1222740,90.33333333
2016-10-01,364900,136.6666667,184.749,17328,1.083333333,78.1078222,3.2,3.842307692,5.266666667,569,1244,1.8,1258808,93.06666667
2017-01-01,374800,137.3333333,187.3686667,17384,1.333333333,78.29992638,3.4,4.173076923,5.233333333,597.3333333,1268.666667,1.7,1267739.333,97.23333333
2017-04-01,376900,144.3333333,189.6203333,17637,1.583333333,78.55988434,3.233333333,3.98,5.266666667,617.3333333,1265.666667,1.5,1276452.333,96.36666667
2017-07-01,373200,149,192.6343333,17684,1.75,78.72652546,3.033333333,3.883846154,5.733333333,588.3333333,1289,1.6,1277344.667,95.1
2017-10-01,399700,153.3333333,195.9846667,16814,1.833333333,78.92725366,3.266666667,3.922307692,5.3,655.6666667,1322.333333,1.6,1301942.667,98.36666667
2018-01-01,374600,159,199.1523333,17258,2.083333333,79.11853988,3.633333333,4.282307692,5.633333333,629,1341,1.5,1345514,98.93333333
2018-04-01,378400,162.6666667,201.4436667,17060,2.333333333,79.25859931,3.6,4.544615385,5.633333333,646.6666667,1344.666667,1.5,1353559.667,98.33333333
2018-07-01,392900,171.3333333,203.6763333,17221,2.583333333,79.42981397,2.966666667,4.566923077,6.366666667,605.3333333,1315.333333,1.6,1334397,98.06666667
2018-10-01,384000,177.6666667,205.6666667,16382,2.833333333,79.66485483,2.966666667,4.784615385,7.066666667,575,1311.333333,1.5,1300523.333,98.13333333
2019-01-01,375500,188,206.768,16814,3,79.80574733,3.466666667,4.373846154,6.366666667,644.6666667,1282.333333,1.4,1310207,94.46666667
2019-04-01,376700,170,208.1146667,17031,3,79.70740554,3.5,4.010769231,5.9,686.6666667,1312.333333,1.3,1367129,98.46666667
2019-07-01,382700,170.3333333,210.1446667,17038,2.75,79.93234882,3.366666667,3.658461538,5.566666667,701.3333333,1455.333333,1.4,1424986.333,93.8
2019-10-01,384600,187.6666667,212.8663333,16113,2.25,80.40648976,3.1,3.7,5.433333333,708,1507,1.4,1457200.333,97.2
2020-01-01,383000,166.3333333,215.6463333,15967,1.583333333,80.16412305,3.4,3.521538462,5.933333333,664.3333333,1429.333333,1.1,1500747.333,96.63333333
2020-04-01,374500,165.6666667,217.1603333,13876,0.25,71.45222648,3.7,3.239230769,5.366666667,733.6666667,1210.666667,0.9,1457248.333,74.06666667
2020-07-01,397800,172.3333333,222.623,14248,0.25,74.72718537,4.433333333,2.952307692,3.366666667,1012,1577.666667,0.9,1490264.333,75.66666667
2020-10-01,403900,185,233.1913333,15445,0.25,76.17067081,3.933333333,2.760714286,3.8,921,1698.333333,1,1552878.667,79.8
