DATE,ASPUS,AUTHNOTTSA,COMPUTSA,CSUSHPISA,EOFFMARUSQ176N,ERENTUSQ176N,ESALEUSQ176N,EVACANTUSQ176N,GDP,HOUST,HSN1F,INTDSRUSM193N,LFWA25TTUSM647S,LFWA64TTUSM647S,LREM25TTUSM156S,LREM64TTUSM156S,LRUN64TTUSM156S,MNMFS,MORTGAGE30US,MSACSR,MSPNHSUS,MSPUS,NHFSEPCS,NHFSEPUCS,NHSDPTS,NHSUSSPT,PERMIT,RHVRUSQ156N,RRVRUSQ156N,TLRESCONS,TTLCONS,UMCSENT,UNDCONTSA
01-01-03,233100,168,1660,129.3206667,5724,3568,1248,14908,11174.129,1736,978,2.25,122896284.9,185860940.9,78.97580765,71.50379498,5.956366702,4.566666667,5.840769231,4.2,184600,186000,83,204.3333333,978,85.33333333,1806.333333,1.7,9.4,421328.6667,858070.6667,79.96666667,1045.666667
01-04-03,241000,176.6666667,1678.666667,131.7556667,5762,3646,1256,15244,11312.766,1753.666667,1094.333333,2.166666667,123236714.1,186639722.2,78.91652969,71.26878471,6.228501497,4.6,5.506923077,3.833333333,190966.6667,191800,80.66666667,208,1094.333333,99.66666667,1837.666667,1.7,9.6,429308.6667,869046,89.26666667,1051.333333
01-07-03,248100,177,1656.333333,135.013,5631,3732,1419,15614,11566.669,1889.666667,1168.333333,2,123459496.2,187305819.2,78.65472593,70.96993147,6.151061852,4.166666667,6.033846154,3.633333333,190900,191900,78,214.6666667,1168.333333,98,1937.333333,1.9,9.9,458890,901564,89.3,1100.333333
01-10-03,256000,178,1712,138.8346667,5690,3833,1339,15654,11772.234,2035.666667,1122,2,123597937.3,187948776.3,78.71678305,71.10416901,5.935730487,3.8,5.919285714,3.966666667,199066.6667,198800,81.66666667,228.6666667,1122,79.66666667,1972.333333,1.8,10.2,491437.3333,933402.6667,91.96666667,1158.666667
01-01-04,262900,173.3333333,1740.333333,143.2986667,6006,3936,1283,15895,11923.447,1918.333333,1200,2,123145880.5,187872630.3,78.82008306,71.17983951,5.774662083,4.233333333,5.5975,3.7,212900,212700,85,233.6666667,1200,104.6666667,1994.666667,1.7,10.4,506856.3333,945832.3333,98,1202.333333
01-04-04,265300,181.6666667,1896,148.209,5886,3809,1272,16079,12112.815,1937.333333,1202.333333,2.083333333,123348988.5,188494806.6,78.97616208,71.1402384,5.653053882,4.066666667,6.106153846,3.9,216566.6667,217600,86.66666667,238.3333333,1202.333333,109.6666667,2080,1.7,10.2,526483.3333,975023.3333,93.33333333,1228
01-07-04,274000,198.6666667,1862.666667,152.717,5739,3836,1333,15656,12305.307,1977,1159,2.5,123500970,189044198.8,79.08282607,71.24001758,5.484572696,3.766666667,5.894285714,4.3,214033.3333,213500,92.33333333,246.6666667,1159,97.33333333,2069.666667,1.7,10.1,552939,1010626.667,95.6,1244
01-10-04,286300,211.6666667,1839.333333,157.5356667,5732,3773,1389,15361,12527.214,1965.333333,1242,3,123603685,189636443.1,79.06534229,71.29590166,5.483884701,3.966666667,5.736153846,4.1,227766.6667,228800,95.66666667,254.3333333,1242,89.33333333,2086,1.8,10,561413.3333,1025397.667,93.86666667,1270.666667
01-01-05,288500,208.3333333,1862.333333,163.4813333,5978,3805,1401,15748,12767.286,2071.666667,1283.333333,3.5,123938099.1,190197864.9,79.11046025,71.26678709,5.337272906,4.366666667,5.768461538,4.266666667,229900,232500,103,269.3333333,1283.333333,109.3333333,2105,1.8,10.1,590790.3333,1061558.333,94.06666667,1311.666667
01-04-05,287800,219,1998.333333,169.347,5875,3761,1384,16061,12922.656,2051.333333,1273.333333,4,124038786.2,190712931.4,79.3402509,71.48655544,5.177625714,4.066666667,5.708461538,4.266666667,230233.3333,233700,106,266.6666667,1273.333333,117,2137.666667,1.8,9.8,611957,1093416.333,90.2,1325
